question,worker,answer
15,6,0.61327231
15,7,0.49199085
15,8,0.5583524
16,0,0.52631579
16,2,0.51258581
16,3,0.57208238
16,6,0.61098398
16,7,0.47597254
16,8,0.6979405
17,0,0.53546911
17,1,0.53546911
17,2,0.5423341
17,3,0.54919908
17,4,0.54004577
17,5,0.5423341
17,6,0.75743707
17,7,0.37070938
17,8,0.70022883
18,0,0.53546911
18,1,0.52402746
18,3,0.56292906
18,4,0.51487414
18,5,0.56292906
18,6,0.69107551
19,0,0.52173913
19,1,0.5194508
19,2,0.53318078
19,3,0.54691076
19,4,0.47139588
19,5,0.57437071
19,6,0.59267735
19,7,0.33180778
19,8,0.67048055
20,0,0.55377574
20,1,0.53318078
20,2,0.55377574
20,3,0.57208238
20,4,0.48741419
20,5,0.5812357
20,6,0.68878719
20,8,0.60183066
21,0,0.53318078
21,1,0.52631579
21,2,0.53775744
21,3,0.51029748
21,6,0.65446224
21,7,0.40961098
21,8,0.63386728
22,0,0.54919908
22,1,0.5423341
22,2,0.55606407
22,3,0.56521739
22,5,0.57665904
22,6,0.67276888
22,7,0.54004577
22,8,0.6201373
23,0,0.54004577
23,2,0.53089245
23,3,0.58352403
23,4,0.52173913
23,5,0.55148741
23,6,0.64988558
23,8,0.57208238
24,1,0.5423341
24,2,0.55148741
24,3,0.55606407
24,4,0.5194508
24,5,0.59267735
24,6,0.71853547
24,7,0.47597254
24,8,0.67276888
25,0,0.53546911
25,1,0.53775744
25,2,0.54919908
25,3,0.57665904
25,5,0.57665904
25,7,0.48741419
25,8,0.64302059
26,0,0.55148741
26,1,0.53318078
26,2,0.53546911
26,3,0.55148741
26,5,0.54004577
26,6,0.66819222
26,7,0.49199085
27,0,0.54462243
27,1,0.53775744
27,2,0.5583524
27,3,0.59038902
27,6,0.65675057
27,7,0.47368421
27,8,0.80320366
28,0,0.55606407
28,1,0.54691076
28,2,0.55148741
28,3,0.57208238
28,4,0.5194508
28,5,0.5812357
28,6,0.71624714
28,7,0.44622426
28,8,0.67048055
29,0,0.55377574
29,1,0.54691076
29,2,0.55606407
29,3,0.5583524
29,4,0.49427918
29,5,0.60869565
29,7,0.48741419
29,8,0.74141876
30,0,0.56979405
30,1,0.55606407
30,2,0.55377574
30,3,0.61098398
30,4,0.53318078
30,5,0.58352403
30,7,0.40503432
31,0,0.56521739
31,1,0.55606407
31,2,0.56979405
31,3,0.6201373
31,4,0.51487414
31,5,0.64073227
31,6,0.69107551
31,7,0.36384439
31,8,0.62929062
32,0,0.55377574
32,1,0.54691076
32,2,0.5812357
32,3,0.57208238
32,4,0.52173913
32,5,0.60640732
32,6,0.67276888
32,7,0.49885584
32,8,0.66590389
33,1,0.54691076
33,2,0.56521739
33,3,0.59267735
33,4,0.5583524
33,5,0.59954233
33,6,0.67963387
33,7,0.52860412
33,8,0.68878719
34,0,0.56521739
34,1,0.56292906
34,2,0.57437071
34,3,0.60869565
34,4,0.51487414
34,5,0.60411899
34,6,0.67048055
34,7,0.38215103
34,8,0.65675057
35,0,0.54919908
35,1,0.54462243
35,2,0.55606407
35,3,0.597254
35,4,0.47826087
35,5,0.59267735
35,6,0.66361556
35,7,0.50343249
36,0,0.57437071
36,2,0.57665904
36,3,0.55606407
36,4,0.50343249
36,5,0.60183066
36,6,0.64073227
36,7,0.57208238
36,8,0.67734554
37,0,0.53318078
37,1,0.54004577
37,2,0.5583524
37,3,0.60411899
37,5,0.58810069
37,6,0.61784897
37,7,0.44393593
37,8,0.67505721
38,0,0.54462243
38,1,0.55606407
38,2,0.56064073
38,3,0.57437071
38,4,0.55377574
38,5,0.60869565
38,6,0.61098398
38,7,0.39359268
38,8,0.67963387
39,0,0.5583524
39,1,0.56750572
39,2,0.56979405
39,3,0.59038902
39,4,0.54462243
39,6,0.59954233
39,7,0.47139588
39,8,0.78718535
40,0,0.58581236
40,1,0.56292906
40,2,0.57665904
40,3,0.66590389
40,4,0.54004577
40,5,0.59954233
40,6,0.63386728
41,0,0.59267735
41,1,0.57437071
41,2,0.54691076
41,3,0.60869565
41,4,0.52631579
41,6,0.67276888
41,8,0.72311213
42,0,0.57208238
42,1,0.57437071
42,3,0.59267735
42,6,0.68878719
42,7,0.42791762
42,8,0.72768879
43,0,0.57208238
43,1,0.56750572
43,2,0.57665904
43,3,0.55148741
43,4,0.55377574
43,5,0.59496568
43,6,0.66819222
43,7,0.42334096
43,8,0.72997712
44,0,0.56750572
44,2,0.56521739
44,3,0.62700229
44,4,0.51029748
44,5,0.58810069
44,8,0.72768879
45,0,0.58581236
45,2,0.59038902
45,3,0.57208238
45,5,0.65217391
45,6,0.54919908
45,7,0.49656751
45,8,0.70251716
46,0,0.56521739
46,1,0.56979405
46,2,0.57894737
46,5,0.62700229
46,6,0.77574371
46,8,0.69565217
47,0,0.59038902
47,1,0.58581236
47,2,0.57894737
47,3,0.59496568
47,4,0.56521739
47,5,0.63615561
47,7,0.37070938
47,8,0.72997712
48,0,0.597254
48,1,0.57208238
48,2,0.58810069
48,3,0.60640732
48,4,0.53318078
48,5,0.60640732
48,6,0.75743707
48,7,0.37757437
48,8,0.77116705
49,0,0.57894737
49,1,0.56521739
49,2,0.56521739
49,3,0.63386728
49,4,0.51487414
49,5,0.62471396
49,6,0.70709382
49,7,0.46681922
50,0,0.59038902
50,1,0.56750572
50,2,0.59496568
50,4,0.53775744
50,5,0.62700229
50,6,0.80778032
51,0,0.597254
51,1,0.58352403
51,2,0.59038902
51,3,0.63157895
51,4,0.5423341
51,5,0.62929062
51,6,0.63844394
51,7,0.47597254
51,8,0.76887872
52,0,0.55377574
52,1,0.56750572
52,3,0.61098398
52,4,0.55148741
52,5,0.60869565
52,6,0.80320366
52,7,0.50114416
52,8,0.70709382
53,1,0.59954233
53,2,0.60640732
53,3,0.63157895
53,4,0.56979405
53,6,0.64988558
53,7,0.61556064
54,0,0.60640732
54,1,0.59038902
54,2,0.59496568
54,4,0.46681922
54,5,0.64302059
54,6,0.72311213
54,7,0.49885584
55,0,0.59267735
55,2,0.60183066
55,3,0.61556064
55,4,0.54691076
55,5,0.63386728
55,6,0.63844394
55,7,0.53318078
55,8,0.76887872
56,0,0.56979405
56,1,0.5812357
56,2,0.57894737
56,3,0.62242563
56,4,0.54691076
56,5,0.61784897
56,6,0.70022883
56,8,0.71395881
57,0,0.60183066
57,1,0.58352403
57,2,0.60411899
57,3,0.62700229
57,5,0.64988558
57,6,0.72768879
57,7,0.42105263
57,8,0.72997712
58,0,0.61556064
58,1,0.59267735
58,2,0.60869565
58,4,0.61098398
58,5,0.61327231
58,6,0.70251716
58,7,0.54691076
58,8,0.71167048
59,0,0.60640732
59,1,0.60869565
59,2,0.61327231
59,4,0.54462243
59,5,0.6590389
59,6,0.75743707
59,7,0.46224256
59,8,0.73226545
60,1,0.57437071
60,2,0.60183066
60,3,0.64988558
60,4,0.56979405
60,5,0.65217391
60,6,0.71395881
60,8,0.79176201
61,0,0.61327231
61,1,0.60411899
61,2,0.60869565
61,3,0.65446224
61,4,0.61098398
61,5,0.62700229
61,6,0.6819222
61,7,0.49885584
61,8,0.73913043
62,0,0.61556064
62,1,0.59267735
62,2,0.61327231
62,3,0.63844394
62,4,0.52860412
62,5,0.62242563
62,6,0.67505721
62,7,0.48283753
62,8,0.73684211
63,0,0.61327231
63,1,0.58352403
63,2,0.597254
63,3,0.6201373
63,4,0.57665904
63,5,0.63615561
63,6,0.75514874
63,8,0.66361556
64,0,0.63157895
64,1,0.59954233
64,3,0.6590389
64,6,0.68649886
64,7,0.57665904
64,8,0.73226545
65,0,0.62700229
65,1,0.62242563
65,2,0.62242563
65,3,0.64530892
65,4,0.56521739
65,6,0.78032037
65,7,0.42105263
65,8,0.73913043
66,0,0.61098398
66,1,0.597254
66,3,0.61556064
66,4,0.56521739
66,5,0.65675057
66,6,0.78947368
66,8,0.70480549
67,0,0.60183066
67,2,0.61098398
67,6,0.63386728
67,7,0.35469108
67,8,0.75286041
68,0,0.61327231
68,1,0.60183066
68,2,0.61098398
68,3,0.63615561
68,4,0.56292906
68,5,0.65446224
68,6,0.79176201
68,7,0.49427918
69,0,0.60183066
69,1,0.61098398
69,2,0.61327231
69,4,0.5583524
69,5,0.6590389
69,6,0.8375286
69,7,0.53546911
69,8,0.72311213
70,0,0.64302059
70,1,0.61556064
70,2,0.63157895
70,3,0.64988558
70,4,0.66132723
70,5,0.69336384
70,6,0.74370709
70,7,0.52173913
70,8,0.75514874
71,1,0.61556064
71,2,0.62929062
71,3,0.67963387
71,5,0.66132723
71,6,0.77345538
71,7,0.60640732
71,8,0.76659039
72,0,0.61784897
72,1,0.61327231
72,2,0.6201373
72,3,0.64530892
72,5,0.62929062
72,6,0.78947368
72,7,0.5423341
72,8,0.70938215
73,0,0.63386728
73,1,0.61784897
73,2,0.62929062
73,3,0.63386728
73,5,0.68878719
73,6,0.72540046
73,7,0.48512586
73,8,0.74599542
74,0,0.61098398
74,2,0.60183066
74,4,0.59496568
74,6,0.72540046
74,8,0.74141876
75,0,0.62929062
75,1,0.62929062
75,2,0.63386728
75,3,0.66132723
75,4,0.62700229
75,5,0.70251716
75,6,0.66361556
75,7,0.36155606
75,8,0.81693364
76,1,0.62700229
76,2,0.61556064
76,3,0.6590389
76,4,0.60640732
76,5,0.67505721
76,7,0.50114416
76,8,0.77116705
77,0,0.64530892
77,1,0.62242563
77,3,0.6590389
77,5,0.64530892
77,6,0.74141876
77,7,0.58810069
77,8,0.72768879
78,0,0.62242563
78,1,0.62471396
78,2,0.64302059
78,3,0.67963387
78,5,0.66819222
78,6,0.76659039
78,7,0.49427918
78,8,0.78032037
79,0,0.61784897
79,1,0.6201373
79,2,0.61327231
79,3,0.66819222
79,4,0.54004577
79,5,0.63615561
79,6,0.75514874
79,7,0.51029748
79,8,0.82608696
80,0,0.6201373
80,2,0.63844394
80,3,0.64530892
80,4,0.60869565
80,6,0.80091533
80,7,0.55148741
80,8,0.80320366
81,0,0.6201373
81,1,0.62700229
81,2,0.62471396
81,3,0.64988558
81,4,0.63157895
81,6,0.70022883
81,7,0.4576659
81,8,0.79176201
82,0,0.63615561
82,2,0.65217391
82,3,0.64988558
82,4,0.58810069
82,5,0.6979405
82,6,0.72311213
82,7,0.57894737
82,8,0.81006865
83,0,0.63157895
83,1,0.61784897
83,2,0.64073227
83,3,0.67734554
83,4,0.62700229
83,5,0.64759725
83,6,0.84897025
83,7,0.63615561
83,8,0.83066362
84,0,0.62700229
84,1,0.62700229
84,2,0.63615561
84,3,0.69336384
84,4,0.61784897
84,5,0.66590389
84,6,0.73226545
84,7,0.51258581
84,8,0.81235698
85,0,0.62700229
85,1,0.64302059
85,2,0.62700229
85,4,0.65446224
85,5,0.65675057
85,6,0.75514874
85,7,0.44851259
85,8,0.79405034
86,1,0.63157895
86,2,0.64988558
86,3,0.66819222
86,4,0.60183066
86,5,0.68878719
86,6,0.75057208
86,7,0.53318078
86,8,0.82837529
87,0,0.62700229
87,1,0.63386728
87,2,0.63386728
87,3,0.66819222
87,4,0.5812357
87,5,0.67734554
87,6,0.70480549
87,7,0.38215103
87,8,0.72540046
88,0,0.63844394
88,1,0.63386728
88,2,0.63844394
88,3,0.70251716
88,5,0.6819222
88,6,0.84210526
88,7,0.55377574
88,8,0.70251716
89,0,0.62929062
89,1,0.64073227
89,2,0.6590389
89,3,0.68878719
89,4,0.60411899
89,5,0.68878719
89,6,0.72768879
89,8,0.78718535
90,0,0.65446224
90,1,0.63157895
90,3,0.68421053
90,4,0.65217391
90,5,0.66819222
90,6,0.69107551
90,7,0.56979405
90,8,0.78032037
91,0,0.65446224
91,1,0.65446224
91,2,0.66132723
91,3,0.65446224
91,5,0.70480549
91,6,0.73684211
91,7,0.66132723
91,8,0.7597254
92,0,0.62700229
92,1,0.65217391
92,2,0.64530892
92,3,0.68878719
92,4,0.56064073
92,5,0.6819222
92,6,0.63844394
92,7,0.52173913
92,8,0.81235698
93,0,0.64302059
93,2,0.64073227
93,3,0.65446224
93,5,0.67048055
93,6,0.71853547
93,7,0.56750572
93,8,0.69336384
94,0,0.63844394
94,1,0.64073227
94,2,0.65446224
94,3,0.65217391
94,4,0.5583524
94,5,0.72997712
94,8,0.75514874
95,0,0.64530892
95,1,0.62929062
95,2,0.64302059
95,4,0.61098398
95,5,0.69107551
95,6,0.69565217
95,7,0.47368421
95,8,0.75286041
96,1,0.63615561
96,2,0.63615561
96,3,0.67734554
96,4,0.61098398
96,5,0.69336384
96,6,0.80091533
96,7,0.52173913
96,8,0.71167048
97,0,0.67048055
97,1,0.64988558
97,2,0.66590389
97,3,0.67276888
97,4,0.62471396
97,5,0.72311213
97,6,0.72768879
97,7,0.44393593
97,8,0.85583524
98,1,0.65675057
98,2,0.65675057
98,5,0.72997712
98,6,0.81693364
98,7,0.53318078
98,8,0.72540046
99,0,0.63386728
99,1,0.65217391
99,2,0.66819222
99,3,0.67963387
99,4,0.64759725
99,5,0.69336384
99,6,0.84439359
99,7,0.52631579
99,8,0.7597254
100,0,0.64988558
100,1,0.64073227
100,3,0.64530892
100,4,0.60183066
100,5,0.69565217
100,6,0.80320366
100,8,0.8215103
101,0,0.65446224
101,1,0.64530892
101,2,0.64759725
101,3,0.70709382
101,4,0.57208238
101,5,0.67963387
101,6,0.75286041
101,7,0.56979405
102,0,0.66590389
102,1,0.64302059
102,2,0.63157895
102,3,0.71395881
102,5,0.69565217
102,6,0.77574371
102,7,0.50800915
103,0,0.6590389
103,1,0.65446224
103,2,0.66132723
103,3,0.64073227
103,4,0.67963387
103,5,0.69336384
103,6,0.67734554
103,7,0.55377574
103,8,0.81922197
104,0,0.65217391
104,1,0.66132723
104,2,0.66590389
104,3,0.71395881
104,4,0.60183066
104,5,0.70709382
104,7,0.53089245
104,8,0.74370709
105,0,0.66361556
105,1,0.64988558
105,2,0.65446224
105,3,0.67734554
105,5,0.71395881
105,6,0.76887872
105,7,0.53546911
105,8,0.83066362
106,0,0.66819222
106,1,0.6819222
106,2,0.67048055
106,3,0.72768879
106,4,0.61784897
106,6,0.73913043
106,8,0.82379863
107,0,0.67963387
107,1,0.66361556
107,2,0.69565217
107,4,0.66590389
107,5,0.71853547
107,6,0.81693364
107,7,0.56521739
107,8,0.90617849
108,0,0.67048055
108,1,0.67276888
108,2,0.66819222
108,3,0.6979405
108,4,0.62700229
108,5,0.71395881
108,6,0.92677346
108,7,0.56521739
108,8,0.8215103
109,2,0.67734554
109,3,0.6979405
109,6,0.80549199
109,8,0.79405034
110,0,0.67734554
110,1,0.64073227
110,2,0.65217391
110,3,0.6819222
110,5,0.67505721
110,7,0.60183066
110,8,0.75057208
111,0,0.67048055
111,2,0.65446224
111,3,0.72768879
111,4,0.63615561
111,5,0.69565217
111,6,0.66590389
111,7,0.55377574
111,8,0.76887872
112,0,0.66361556
112,2,0.67276888
112,3,0.67276888
112,4,0.65446224
112,5,0.70251716
112,6,0.76201373
112,7,0.54004577
112,8,0.76659039
113,0,0.67276888
113,1,0.67276888
113,2,0.69107551
113,4,0.68878719
113,5,0.72540046
113,7,0.56979405
113,8,0.88558352
114,1,0.66590389
114,2,0.67048055
114,3,0.71624714
114,4,0.63157895
114,5,0.73455378
114,7,0.51716247
114,8,0.80549199
115,0,0.65675057
115,2,0.67963387
115,6,0.79405034
115,7,0.54462243
115,8,0.83524027
116,0,0.6590389
116,1,0.67276888
116,2,0.6819222
116,3,0.73226545
116,5,0.69565217
116,6,0.79176201
116,7,0.70709382
116,8,0.87871854
117,0,0.67276888
117,1,0.67505721
117,2,0.67048055
117,3,0.71624714
117,4,0.67963387
117,5,0.70480549
117,6,0.73684211
117,8,0.69336384
118,0,0.69336384
118,2,0.67734554
118,4,0.59496568
118,5,0.74599542
118,6,0.81006865
118,7,0.51716247
118,8,0.87871854
119,0,0.66590389
119,1,0.6819222
119,2,0.69107551
119,3,0.76887872
119,5,0.7208238
119,6,0.72311213
119,8,0.81922197
120,0,0.69565217
120,1,0.67734554
120,2,0.67048055
120,3,0.70480549
120,4,0.67505721
120,5,0.73684211
120,6,0.74141876
120,7,0.56064073
120,8,0.83981693
121,0,0.67048055
121,1,0.66132723
121,2,0.6590389
121,3,0.72768879
121,4,0.6201373
121,5,0.71395881
121,6,0.8215103
121,7,0.5423341
121,8,0.77116705
122,0,0.69336384
122,1,0.69336384
122,2,0.70251716
122,3,0.7208238
122,5,0.73913043
122,6,0.74370709
122,7,0.56750572
122,8,0.79176201
123,0,0.69336384
123,2,0.6819222
123,3,0.73226545
123,4,0.67963387
123,5,0.71167048
123,6,0.81464531
123,7,0.54462243
123,8,0.83066362
124,0,0.70022883
124,2,0.69107551
124,4,0.66132723
124,5,0.74141876
124,7,0.60183066
124,8,0.93135011
125,0,0.6979405
125,1,0.68878719
125,6,0.73226545
125,7,0.47597254
125,8,0.87871854
126,0,0.67048055
126,2,0.67048055
126,4,0.62929062
126,5,0.69336384
126,6,0.89016018
126,8,0.87185355
127,1,0.68878719
127,2,0.67963387
127,3,0.71395881
127,4,0.67048055
127,5,0.71853547
127,6,0.75057208
127,7,0.64759725
127,8,0.80778032
128,0,0.66590389
128,2,0.68878719
128,3,0.71167048
128,4,0.6819222
128,5,0.73684211
128,6,0.78718535
128,7,0.62471396
128,8,0.79405034
129,0,0.67734554
129,2,0.67505721
129,3,0.74599542
129,4,0.67276888
129,5,0.73684211
129,6,0.81464531
129,7,0.49427918
129,8,0.7826087
130,0,0.67734554
130,1,0.67276888
130,2,0.67505721
130,3,0.6979405
130,4,0.6201373
130,6,0.75743707
130,7,0.41647597
130,8,0.79176201
131,0,0.6819222
131,1,0.69565217
131,2,0.70022883
131,3,0.69107551
131,4,0.64759725
131,5,0.76201373
131,6,0.81006865
131,8,0.73226545
132,0,0.68421053
132,2,0.70022883
132,3,0.70251716
132,4,0.65446224
132,5,0.7208238
132,6,0.82837529
132,7,0.51029748
132,8,0.78489703
133,2,0.69565217
133,3,0.74141876
133,4,0.66361556
133,5,0.76659039
133,6,0.86270023
133,7,0.57208238
133,8,0.80320366
134,0,0.68878719
134,2,0.6979405
134,3,0.75057208
134,4,0.67734554
134,6,0.84439359
134,7,0.75743707
134,8,0.81235698
135,0,0.70480549
135,2,0.69107551
135,3,0.73913043
135,4,0.6201373
135,5,0.73455378
135,6,0.80549199
135,7,0.63615561
135,8,0.84439359
136,0,0.68421053
136,1,0.68878719
136,2,0.70022883
136,3,0.75057208
136,4,0.66819222
136,5,0.75743707
136,6,0.79176201
136,7,0.45995423
136,8,0.83981693
137,0,0.6979405
137,1,0.68649886
137,2,0.69107551
137,3,0.69336384
137,5,0.75057208
137,7,0.54004577
137,8,0.82837529
138,0,0.70938215
138,1,0.69336384
138,2,0.70938215
138,4,0.66361556
138,5,0.72768879
138,7,0.59267735
138,8,0.81006865
139,0,0.67734554
139,2,0.69107551
139,3,0.71167048
139,4,0.63615561
139,6,0.93592677
139,7,0.60183066
140,0,0.71853547
140,1,0.69336384
140,4,0.64988558
140,5,0.74828375
140,6,0.86498856
140,7,0.50343249
140,8,0.74370709
141,0,0.70938215
141,2,0.72540046
141,3,0.73226545
141,5,0.75057208
141,6,0.76659039
141,7,0.59267735
141,8,0.81693364
142,0,0.69107551
142,1,0.68649886
142,2,0.68421053
142,4,0.65217391
142,5,0.74370709
142,6,0.80549199
142,8,0.77803204
143,0,0.71167048
143,1,0.6979405
143,2,0.71167048
143,3,0.73226545
143,4,0.57208238
143,5,0.74141876
143,6,0.79405034
143,7,0.54691076
144,0,0.70709382
144,2,0.70480549
144,3,0.73684211
144,4,0.65446224
144,5,0.74141876
144,6,0.80778032
144,7,0.52173913
145,0,0.7208238
145,2,0.71167048
145,3,0.75514874
145,4,0.65446224
145,5,0.77574371
145,6,0.74828375
145,7,0.6201373
146,0,0.70022883
146,1,0.68649886
146,2,0.6979405
146,6,0.7826087
146,7,0.64302059
146,8,0.85125858
147,0,0.69107551
147,1,0.68878719
147,2,0.69107551
147,3,0.71624714
147,4,0.67963387
147,6,0.91075515
147,7,0.64759725
147,8,0.87185355
148,0,0.71395881
148,1,0.70480549
148,2,0.71167048
148,3,0.74370709
148,4,0.65675057
148,7,0.64302059
148,8,0.88558352
149,0,0.69565217
149,1,0.68878719
149,2,0.71167048
149,3,0.73913043
149,6,0.85354691
149,7,0.56750572
149,8,0.87643021
150,1,0.70709382
150,2,0.71395881
150,3,0.71853547
150,6,0.67734554
150,7,0.65217391
150,8,0.8375286
151,0,0.71167048
151,1,0.6979405
151,2,0.71395881
151,3,0.73913043
151,4,0.67276888
151,5,0.75057208
151,6,0.89016018
151,7,0.62471396
151,8,0.81922197
152,0,0.70480549
152,1,0.69107551
152,3,0.73226545
152,4,0.71624714
152,5,0.76201373
152,6,0.87643021
152,7,0.60640732
152,8,0.80320366
153,0,0.70938215
153,1,0.69336384
153,2,0.7208238
153,3,0.73913043
153,4,0.70709382
153,6,0.80091533
153,7,0.56292906
153,8,0.77574371
154,0,0.71167048
154,1,0.69336384
154,2,0.72311213
154,4,0.70709382
154,5,0.75057208
154,6,0.86498856
154,7,0.57208238
154,8,0.89244851
155,0,0.68649886
155,1,0.69107551
155,2,0.70022883
155,3,0.73684211
155,4,0.66132723
155,5,0.77803204
155,6,0.76887872
155,7,0.60411899
155,8,0.83066362
156,0,0.71853547
156,1,0.71395881
156,2,0.73684211
156,4,0.70938215
156,6,0.80778032
156,7,0.78489703
157,0,0.71853547
157,1,0.72311213
157,2,0.70709382
157,4,0.67734554
157,5,0.74599542
157,6,0.91304348
157,7,0.62929062
157,8,0.79176201
158,0,0.70709382
158,2,0.71395881
158,3,0.73684211
158,4,0.66819222
158,5,0.73684211
158,6,0.80091533
158,7,0.55606407
158,8,0.80091533
159,0,0.70709382
159,3,0.73913043
159,5,0.78718535
159,6,0.72311213
159,7,0.55377574
159,8,0.81235698
160,0,0.72311213
160,1,0.6979405
160,2,0.71624714
160,3,0.76659039
160,4,0.68878719
160,5,0.74141876
160,6,0.81464531
160,8,0.84439359
161,0,0.71167048
161,1,0.71624714
161,2,0.70709382
161,3,0.72540046
161,4,0.67276888
161,5,0.79176201
161,6,0.82608696
161,7,0.57894737
162,0,0.73455378
162,1,0.7208238
162,2,0.72768879
162,3,0.73684211
162,4,0.73455378
162,5,0.7826087
162,6,0.90389016
162,8,0.90617849
163,1,0.70480549
163,2,0.70938215
163,3,0.80549199
163,4,0.67505721
163,5,0.75057208
163,7,0.75286041
164,0,0.72997712
164,1,0.71624714
164,2,0.7208238
164,3,0.72997712
164,5,0.73226545
164,6,0.83524027
164,7,0.59038902
164,8,0.84210526
165,0,0.71395881
165,1,0.70709382
165,3,0.7208238
165,4,0.70709382
165,5,0.76201373
165,6,0.80778032
165,7,0.67505721
165,8,0.75057208
166,0,0.74599542
166,1,0.72768879
166,2,0.73913043
166,3,0.77116705
166,4,0.73226545
166,5,0.76659039
166,6,0.89473684
166,8,0.84897025
167,0,0.71853547
167,1,0.73913043
167,2,0.72768879
167,3,0.71395881
167,5,0.79405034
167,6,0.84897025
167,7,0.59954233
167,8,0.85812357
168,0,0.72997712
168,1,0.70022883
168,2,0.71395881
168,3,0.74370709
168,4,0.71395881
168,5,0.78947368
168,6,0.78489703
168,7,0.62929062
168,8,0.83981693
169,0,0.72768879
169,1,0.70251716
169,2,0.71853547
169,4,0.64530892
169,6,0.89244851
169,7,0.66132723
169,8,0.81922197
170,1,0.70709382
170,6,0.83524027
170,7,0.56750572
170,8,0.85812357
171,0,0.70938215
171,2,0.72540046
171,3,0.79405034
171,4,0.69565217
171,5,0.74370709
171,6,0.82608696
171,7,0.56521739
171,8,0.85125858
172,0,0.73684211
172,1,0.70709382
172,2,0.72311213
172,5,0.77803204
172,6,0.84210526
172,7,0.72768879
172,8,0.85354691
173,0,0.72311213
173,1,0.7208238
173,2,0.73684211
173,3,0.71853547
173,4,0.71624714
173,5,0.78032037
173,6,0.77345538
173,7,0.68421053
173,8,0.87643021
174,0,0.72768879
174,1,0.71395881
174,3,0.70938215
174,4,0.71853547
174,5,0.78489703
174,6,0.80549199
174,7,0.67276888
174,8,0.8375286
175,0,0.73226545
175,1,0.73684211
175,2,0.73684211
175,3,0.72540046
175,4,0.66590389
175,5,0.78032037
175,7,0.67505721
175,8,0.83981693
176,0,0.72311213
176,1,0.72540046
176,2,0.70709382
176,3,0.77345538
176,4,0.67505721
176,5,0.72997712
176,8,0.91990847
177,0,0.74370709
177,1,0.72997712
177,2,0.73226545
177,3,0.78947368
177,4,0.72997712
177,5,0.77345538
177,6,0.84439359
177,7,0.6590389
177,8,0.89244851
178,0,0.73226545
178,1,0.72311213
178,2,0.7208238
178,3,0.74141876
178,4,0.67048055
178,5,0.74370709
178,7,0.75514874
178,8,0.89473684
179,0,0.72311213
179,1,0.74370709
179,2,0.75057208
179,3,0.78947368
179,4,0.70480549
179,5,0.7826087
179,6,0.84210526
179,7,0.63844394
179,8,0.93363844
180,0,0.74599542
180,1,0.71853547
180,2,0.70938215
180,4,0.74141876
180,5,0.78947368
180,6,0.91304348
180,7,0.66132723
180,8,0.88787185
181,0,0.70022883
181,1,0.70709382
181,3,0.7826087
181,4,0.68649886
181,6,0.84210526
181,7,0.51258581
181,8,0.89473684
182,2,0.74370709
182,3,0.78947368
